GEOID,total_households,zero_vehicle_households,car_ownership_rate
1400000US36047013100,1954,1366,0.6990788126919141
1400000US36047013200,705,283,0.4014184397163121
1400000US36047013300,2450,1106,0.4514285714285714
1400000US36047013400,2059,811,0.39388052452646916
1400000US36047013500,2326,783,0.33662940670679276
1400000US36047013600,2115,1052,0.4973995271867612
1400000US36047013700,1937,1272,0.6566855962829117
1400000US36047013800,1738,792,0.45569620253164556
1400000US36047013900,2222,1180,0.5310531053105311
1400000US36047014000,616,122,0.19805194805194806
1400000US36047014101,759,331,0.43610013175230566
1400000US36047014102,958,468,0.48851774530271397
1400000US36047014200,1606,948,0.5902864259028643
1400000US36047014300,2120,650,0.30660377358490565
1400000US36047014500,2734,1193,0.43635698610095097
1400000US36047014700,1228,464,0.3778501628664495
1400000US36047014800,536,9,0.016791044776119403
1400000US36047014901,843,430,0.5100830367734283
1400000US36047014902,2561,1057,0.4127294025771183
1400000US36047015000,491,130,0.26476578411405294
1400000US36047015100,2316,948,0.40932642487046633
1400000US36047015200,1063,134,0.12605832549388524
1400000US36047015300,1665,987,0.5927927927927928
1400000US36047015500,1896,624,0.3291139240506329
1400000US36047015700,3082,1543,0.5006489292667099
1400000US36047015900,3512,2078,0.5916856492027335
1400000US36047016000,2513,1171,0.46597692001591723
1400000US36047016100,2186,1387,0.6344922232387923
1400000US36047016200,1148,263,0.22909407665505227
1400000US36047016300,2467,1483,0.6011349817592218
1400000US36047016400,212,0,0.0
1400000US36047016500,3594,1532,0.4262659988870339
1400000US36047016600,951,39,0.04100946372239748
1400000US36047016700,2786,1289,0.46267049533381194
1400000US36047016800,937,128,0.13660618996798293
1400000US36047016900,2820,1039,0.36843971631205674
1400000US36047017000,1630,296,0.18159509202453988
1400000US36047017100,2086,545,0.26126558005752637
1400000US36047017200,1111,121,0.10891089108910891
1400000US36047017400,986,171,0.17342799188640973
1400000US36047017600,1222,276,0.22585924713584288
1400000US36047017800,1087,324,0.2980680772769089
